user,data_point,mse
user6,800,0.031076316
user6,801,0.03088378
user6,802,0.030848525
user6,803,0.030806432
user6,804,0.030734686
user6,805,0.031908568
user6,806,0.033451863
user6,807,0.03603911
user6,808,0.14392206
user6,809,0.05919286
user6,810,0.034772843
user6,811,0.042968187
user6,812,0.032359634
user6,813,0.031194411
user6,814,0.032072563
user6,815,0.03441865
user6,816,0.035191294
user6,817,0.035603292
user6,818,0.03547263
user6,819,0.0350514
user6,820,0.033711944
user6,821,0.030697139
user6,822,0.030696522
user6,823,0.030698184
user6,824,0.030953543
user6,825,0.031296287
user6,826,0.083119035
user6,827,0.06246946
user6,828,0.035936616
user6,829,0.03339874
user6,830,0.03515247
user6,831,0.041608673
user6,832,0.044601243
